,,,,,,,,,,,,,,
Section Size,Dimensions,,,,,,,,,Properties,,,,
,d (in),bt (in),Weight,tt (in),Sx,tw (in),r (in),Sy,rx,A (in2),ry,Iyp (in4),Izp (in4),"Plastic
Mod Zp (in3)"
W14x145,14.8,15.5,145.18,1.09,231.0810811,0.68,0.6,87.35483871,6.328257138,42.7,3.981808752,677,1710,260
W14x132,14.7,14.7,131.92,1.03,208.1632653,0.645,0.6,74.55782313,6.279569228,38.8,3.75815265,548,1530,234
W14x120,14.5,14.7,120.02,0.94,190.3448276,0.59,0.6,67.34693878,6.252478262,35.3,3.744684618,495,1380,212
W14x109,14.3,14.6,108.8,0.86,173.4265734,0.525,0.6,61.23287671,6.224949799,32,3.737479097,447,1240,192
W14x99,14.2,14.6,98.94,0.78,156.3380282,0.485,0.6,55.06849315,6.176109609,29.1,3.716777232,402,1110,173
W14x90,14,14.5,90.1,0.71,142.7142857,0.44,0.6,49.93103448,6.139878925,26.5,3.695994773,362,999,157
W14x82,14.3,10.1,81.6,0.855,123.2167832,0.51,0.595,29.30693069,6.058740243,24,2.483277404,148,881,139
W14x74,14.2,10.1,74.12,0.785,111.971831,0.45,0.595,26.53465347,6.038864952,21.8,2.479271867,134,795,126
W14x68,14,10,68,0.72,103.1428571,0.415,0.59,24.2,6.008327554,20,2.459674775,121,722,115
W14x61,13.9,10,60.86,0.645,92.08633094,0.375,0.595,21.4,5.979480742,17.9,2.444924054,107,640,102
W14x53,13.9,8.06,53.04,0.66,77.84172662,0.37,0.59,14.31761787,5.888929205,15.6,1.923205124,57.7,541,87.1
W14x48,13.8,8.03,47.94,0.595,70.14492754,0.34,0.595,12.80199253,5.858860054,14.1,1.909290463,51.4,484,78.4
W14x43,13.7,8,42.84,0.53,62.48175182,0.305,0.59,11.3,5.828229059,12.6,1.894017314,45.2,428,69.6
W14x38,14.1,6.77,38.08,0.515,54.60992908,0.31,0.4,7.88774003,5.8630197,11.2,1.543997594,26.7,385,61.5
W14x34,14,6.75,34,0.455,48.57142857,0.285,0.4,6.903703704,5.830951895,10,1.526433752,23.3,340,54.6
W14x30,13.8,6.73,30.09,0.385,42.17391304,0.27,0.4,5.824665676,5.734226707,8.85,1.48818321,19.6,291,47.3
W14x26,13.9,5.03,26.146,0.42,35.25179856,0.255,0.4,3.542743539,5.644427151,7.69,1.07640494,8.91,245,40.2
W14x22,13.7,5,22.066,0.335,29.05109489,0.23,0.4,2.8,5.537378241,6.49,1.038548234,7,199,33.2
W12x336,16.8,13.4,336.26,2.96,483.3333333,1.78,0.59,177.6119403,6.407149697,98.9,3.468768645,1190,4060,603
W12x305,16.3,13.2,304.3,2.71,435.5828221,1.63,0.59,159.0909091,6.298000037,89.5,3.42517789,1050,3550,537
W12x279,15.9,13.1,278.46,2.47,391.1949686,1.53,0.6,143.0534351,6.16223482,81.9,3.382422422,937,3110,481
W12x252,15.4,13,251.94,2.25,353.2467532,1.4,0.6,127.3846154,6.058642793,74.1,3.342766679,828,2720,428
W12x230,15.1,12.9,230.18,2.07,320.5298013,1.29,0.6,115.0387597,5.978790677,67.7,3.310606918,742,2420,386
W12x210,14.7,12.8,210.12,1.9,291.1564626,1.18,0.6,103.75,5.884541759,61.8,3.277855483,664,2140,348
W12x190,14.4,12.7,190.4,1.74,262.5,1.06,0.59,92.75590551,5.809475019,56,3.243124596,589,1890,311
W12x170,14,12.6,170,1.56,235.7142857,0.96,0.6,82.06349206,5.744562647,50,3.215587038,517,1650,275
W12x152,13.7,12.5,151.98,1.4,208.7591241,0.87,0.6,72.64,5.656063247,44.7,3.186942038,454,1430,243
W12x136,13.4,12.4,135.66,1.25,185.0746269,0.79,0.6,64.19354839,5.574737145,39.9,3.15831242,398,1240,214
W12x120,13.1,12.3,119.68,1.11,163.3587786,0.71,0.59,56.09756098,5.513413396,35.2,3.130676662,345,1070,186
W12x106,12.9,12.2,106.08,0.99,144.6511628,0.61,0.6,49.3442623,5.468440925,31.2,3.106032179,301,933,164
W12x96,12.7,12.2,95.88,0.9,131.1811024,0.55,0.6,44.26229508,5.434979953,28.2,3.094263739,270,833,147
W12x87,12.5,12.1,87.04,0.81,118.4,0.515,0.6,39.83471074,5.376453292,25.6,3.068234427,241,740,132
W12x79,12.4,12.1,78.88,0.735,106.7741935,0.47,0.595,35.70247934,5.341767756,23.2,3.051285766,216,662,119
W12x72,12.3,12,71.74,0.67,97.07317073,0.43,0.6,32.5,5.319195321,21.1,3.040017461,195,597,108
W12x65,12.1,12,64.94,0.605,88.09917355,0.39,0.595,29,5.282590194,19.1,3.018268981,174,533,96.8
W12x58,12.2,10,57.8,0.64,77.86885246,0.36,0.6,21.4,5.285941399,17,2.508808013,107,475,86.4
W12x53,12.1,10,53.04,0.575,70.24793388,0.345,0.605,19.16,5.219539227,15.6,2.478109288,95.8,425,77.9
W12x50,12.2,8.08,49.64,0.64,64.09836066,0.37,0.5,13.93564356,5.175019026,14.6,1.963711889,56.3,391,71.9
W12x45,12.1,8.05,44.54,0.575,57.52066116,0.335,0.505,12.42236025,5.154113454,13.1,1.953661663,50,348,64.2
W12x40,11.9,8.01,39.78,0.515,51.59663866,0.295,0.505,11.01123596,5.122432649,11.7,1.941450687,44.1,307,57
W12x35,12.5,6.56,35.02,0.52,45.6,0.3,0.3,7.469512195,5.260218903,10.3,1.542284272,24.5,285,51.2
W12x30,12.3,6.52,29.886,0.44,38.69918699,0.26,0.3,6.226993865,5.203481813,8.79,1.519685016,20.3,238,43.1
W12x26,12.2,6.49,26.01,0.38,33.44262295,0.23,0.3,5.331278891,5.163977795,7.65,1.503807803,17.3,204,37.2
W12x22,12.3,4.03,22.032,0.425,25.36585366,0.26,0.3,2.312655087,4.906533815,6.48,0.8480187512,4.66,156,29.3
W12x19,12.2,4.01,18.938,0.35,21.31147541,0.235,0.3,1.875311721,4.831078324,5.57,0.8216111509,3.76,130,24.7
W12x16,12,3.99,16.014,0.265,17.16666667,0.22,0.3,1.413533835,4.676362388,4.71,0.7737739429,2.82,103,20.1
W12x14,11.9,3.97,14.144,0.225,14.8907563,0.2,0.3,1.188916877,4.614983957,4.16,0.7531983088,2.36,88.6,17.4
W10x112,11.4,10.4,111.86,1.25,125.6140351,0.755,0.5,45.38461538,4.665074269,32.9,2.678292792,236,716,147
W10x100,11.1,10.3,99.62,1.12,112.2522523,0.68,0.5,40.19417476,4.611160227,29.3,2.657977881,207,623,130
W10x88,10.8,10.3,88.4,0.99,98.88888889,0.605,0.5,34.75728155,4.531937945,26,2.623855062,179,534,113
W10x77,10.6,10.2,77.18,0.87,85.8490566,0.53,0.5,30.19607843,4.477058506,22.7,2.604638357,154,455,97.6
W10x68,10.4,10.1,67.66,0.77,75.76923077,0.47,0.5,26.53465347,4.44960616,19.9,2.594931279,134,394,85.3
W10x60,10.2,10.1,60.18,0.68,66.8627451,0.42,0.5,22.97029703,4.389252411,17.7,2.560014124,116,341,74.6
W10x54,10.1,10,53.72,0.615,60,0.37,0.505,20.6,4.379179739,15.8,2.553230765,103,303,66.6
W10x49,10,10,48.96,0.56,54.4,0.34,0.5,18.68,4.346134937,14.4,2.546784465,93.4,272,60.4
W10x45,10.1,8.02,45.22,0.62,49.10891089,0.35,0.5,13.31670823,4.318172824,13.3,2.003755872,53.4,248,54.9
W10x39,9.92,7.99,39.1,0.53,42.13709677,0.315,0.5,11.2640801,4.263087267,11.5,1.97814142,45,209,46.8
W10x33,9.73,7.96,33.014,0.435,35.14902364,0.29,0.5,9.195979899,4.196511719,9.71,1.941471089,36.6,171,38.8
W10x30,10.5,5.81,30.056,0.51,32.38095238,0.3,0.3,5.748709122,4.385290097,8.84,1.374459993,16.7,170,36.6
W10x26,10.3,5.77,25.874,0.44,27.96116505,0.26,0.3,4.887348354,4.349996602,7.61,1.36118523,14.1,144,31.3
W10x22,10.2,5.75,22.066,0.36,23.1372549,0.24,0.3,3.965217391,4.264014327,6.49,1.325348458,11.4,118,26
W10x19,10.2,4.02,19.108,0.395,18.88235294,0.25,0.3,2.134328358,4.139472348,5.62,0.8736962835,4.29,96.3,21.6
W10x17,10.1,4.01,16.966,0.33,16.21782178,0.24,0.3,1.775561097,4.051274571,4.99,0.8446459931,3.56,81.9,18.7
W10x15,9.99,4,14.994,0.27,13.79379379,0.23,0.3,1.445,3.952667804,4.41,0.8095238095,2.89,68.9,16
W10x12,9.87,3.96,12.036,0.21,10.90172239,0.19,0.3,1.101010101,3.898427903,3.54,0.7847414919,2.18,53.8,12.6
W8x67,9,8.28,66.98,0.935,60.44444444,0.57,0.395,21.40096618,3.715791517,19.7,2.12072203,88.6,272,70.1
W8x58,8.75,8.22,58.14,0.81,52.11428571,0.51,0.39,18.27250608,3.651483717,17.1,2.095665256,75.1,228,59.8
W8x48,8.5,8.11,47.94,0.685,43.29411765,0.4,0.395,15.01849568,3.612429292,14.1,2.078256225,60.9,184,49
W8x40,8.25,8.07,39.78,0.56,35.39393939,0.36,0.394,12.1685254,3.53251079,11.7,2.048555881,49.1,146,39.8
W8x35,8.12,8.02,35.02,0.495,31.28078818,0.31,0.394,10.6234414,3.511423798,10.3,2.033696715,42.6,127,34.7
W8x31,8,8,31.042,0.435,27.5,0.285,0.394,9.275,3.471050673,9.13,2.015819147,37.1,110,30.4
W8x28,8.06,6.54,28.05,0.465,24.31761787,0.285,0.394,6.636085627,3.446561747,8.25,1.6218209,21.7,98,27.2
W8x24,7.93,6.5,24.072,0.4,20.85750315,0.245,0.394,5.630769231,3.417717215,7.08,1.607714453,18.3,82.7,23.1
W8x21,8.28,5.27,20.944,0.4,18.1884058,0.25,0.3,3.707779886,3.496287456,6.16,1.259380388,9.77,75.3,20.4
W8x18,8.14,5.25,17.884,0.33,15.20884521,0.23,0.3,3.036190476,3.430460732,5.26,1.230938311,7.97,61.9,17
W8x15,8.11,4.02,15.096,0.315,11.83723798,0.245,0.3,1.696517413,3.287979746,4.44,0.876366372,3.41,48,13.6
W8x13,7.99,4,13.056,0.255,9.912390488,0.23,0.3,1.365,3.211308145,3.84,0.8431710977,2.73,39.6,11.4
W8x10,7.89,3.94,10.064,0.205,7.807351077,0.17,0.3,1.060913706,3.225741063,2.96,0.840286309,2.09,30.8,8.87
W6x25,6.38,6.08,24.956,0.455,16.73981191,0.32,0.25,5.625,2.697258675,7.34,1.52633557,17.1,53.4,18.9
W6x20,6.2,6.02,19.958,0.365,13.35483871,0.26,0.25,4.418604651,2.65571288,5.87,1.505243532,13.3,41.4,14.9
W6x15,5.99,5.99,15.062,0.26,9.716193656,0.23,0.25,3.111853088,2.562976543,4.43,1.450461124,9.32,29.1,10.8
W6x16,6.28,4.03,16.116,0.405,10.22292994,0.26,0.25,2.198511166,2.602335854,4.74,0.9667466866,4.43,32.1,11.7
W6x12,6.03,4,12.07,0.28,7.330016584,0.23,0.25,1.495,2.495065553,3.55,0.9177437121,2.99,22.1,8.3
W6x9,5.9,3.94,9.112,0.215,5.559322034,0.17,0.25,1.116751269,2.473742708,2.68,0.9060328484,2.2,16.4,6.23
W6x8.5,5.83,3.94,8.568,0.195,5.111492281,0.17,0.25,1.010152284,2.431604082,2.52,0.8886408384,1.99,14.9,5.73
W5x19,5.15,5.03,18.904,0.43,10.21359223,0.27,0.3,3.630218688,2.174905935,5.56,1.281439164,9.13,26.3,11.6
W5x16,5.01,5,16.014,0.36,8.542914172,0.24,0.3,3.004,2.13155446,4.71,1.26272714,7.51,21.4,9.63
W4x13,4.16,4.06,13.022,0.345,5.432692308,0.28,0.25,1.901477833,1.717670412,3.83,1.00390881,3.86,11.3,6.28
W44x408,44.8,16.1,408,2.17,1727.678571,1.22,0.79,188.8198758,17.958285,120,3.559026084,1520,38700,2000
W44x368,44.4,16,367.2,1.97,1563.063063,1.1,0.79,168.75,17.92473978,108,3.535533906,1350,34700,1800
W36x387,39.1,12.7,387.6,2.56,1355.498721,1.42,0.75,138.8976378,15.2465124,114,2.78151795,882,26500,1610
W36x350,38.6,12.6,350.2,2.32,1222.797927,1.3,0.75,123.8095238,15.13691559,103,2.751874912,780,23600,1440
W36x318,38.2,12.4,317.56,2.13,1109.947644,1.18,0.75,110,15.0658796,93.4,2.702207837,682,21200,1300
W36x286,37.8,12.3,285.26,1.93,1000,1.06,0.75,97.88617886,15.00893655,83.9,2.678657981,602,18900,1160
