,,,,,,,,,,,,,,
Section Size,Dimensions,,,,,,,,,Properties,,,,
,d (in),bt (in),Weight,tt (in),Sx,tw (in),r (in),Sy,rx,A (in2),ry,Iyp (in4),Izp (in4),"Plastic
Mod Zp (in3)"
W36x925,43.1,18.6,924.8,4.53,3387.470998,3.02,0.75,531.1827957,16.38237934,272,4.2616622,4940,73000,4130
W36x853,43.1,18.2,853.4,4.53,3248.259861,2.52,0.75,505.4945055,16.6998342,251,4.280968725,4600,70000,3920
W36x802,42.6,18,802.4,4.29,3042.253521,2.38,0.75,467.7777778,16.57034312,236,4.22362203,4210,64800,3660
W36x723,41.8,17.8,724.2,3.9,2741.626794,2.17,0.75,415.7303371,16.40164884,213,4.16784021,3700,57300,3270
W36x652,41.1,17.6,652.8,3.54,2462.287105,1.97,0.95,367.0454545,16.23396645,192,4.101574901,3230,50600,2910
W36x529,39.8,17.2,530.4,2.91,1989.949749,1.61,0.95,289.5348837,15.93255014,156,3.995189415,2490,39600,2330
W36x487,39.3,17.1,486.2,2.68,1832.061069,1.5,0.95,263.1578947,15.86657656,143,3.96664414,2250,36000,2130
W36x441,38.9,17,442,2.44,1650.385604,1.36,0.95,234.1176471,15.71378621,130,3.912504608,1990,32100,1910
W36x395,38.4,16.8,394.4,2.2,1484.375,1.22,0.95,208.3333333,15.67449059,116,3.884096664,1750,28500,1710
W36x361,38,16.7,360.4,2.01,1352.631579,1.12,0.95,188.0239521,15.5708969,106,3.848547876,1570,25700,1550
W36x330,37.7,16.6,329.46,1.85,1236.074271,1.02,0.95,171.0843373,15.50658171,96.9,3.828091269,1420,23300,1410
W36x302,37.3,16.7,302.6,1.68,1131.367292,0.945,0.95,155.6886228,15.39735859,89,3.821876708,1300,21100,1280
W36x282,37.1,16.6,281.86,1.57,1056.603774,0.885,0.95,144.5783133,15.376262,82.9,3.804638145,1200,19600,1190
W36x262,36.9,16.6,262.48,1.44,970.1897019,0.84,0.95,131.3253012,15.22712333,77.2,3.757548534,1090,17900,1100
W36x247,36.7,16.5,246.5,1.35,910.0817439,0.8,0.95,122.4242424,15.17711526,72.5,3.732430104,1010,16700,1030
W36x231,36.5,16.5,231.88,1.26,854.7945205,0.76,0.95,113.9393939,15.12411991,68.2,3.712545111,940,15600,963
W36x256,37.4,12.2,256.02,1.73,898.3957219,0.96,0.75,86.55737705,14.93678579,75.3,2.6480091,528,16800,1040
W36x232,37.1,12.1,231.2,1.57,808.6253369,0.87,0.75,77.3553719,14.85221314,68,2.623423897,468,15000,936
W36x210,36.7,12.2,210.46,1.36,719.346049,0.83,0.75,67.37704918,14.60298507,61.9,2.57676959,411,13200,833
W36x194,36.5,12.1,193.8,1.26,663.0136986,0.765,0.75,61.98347107,14.56985593,57,2.56494588,375,12100,767
W36x182,36.3,12.1,182.24,1.18,622.5895317,0.725,0.75,57.3553719,14.51967271,53.6,2.544382164,347,11300,718
W36x170,36.2,12,170,1.1,580.1104972,0.68,0.75,53.33333333,14.49137675,50,2.529822128,320,10500,668
W36x160,36,12,159.8,1.02,542.2222222,0.65,0.75,49.16666667,14.41039814,47,2.505313502,295,9760,624
W36x150,35.9,12,150.62,0.94,503.6211699,0.625,0.75,45,14.28506932,44.3,2.468766519,270,9040,581
W36x135,35.6,12,135.66,0.79,438.2022472,0.6,0.75,37.5,13.98172814,39.9,2.374678451,225,7800,509
W33x387,36,16.2,387.6,2.28,1350,1.26,0.79,200,14.5999279,114,3.769685175,1620,24300,1560
W33x354,35.6,16.1,353.6,2.09,1235.955056,1.16,0.79,181.3664596,14.54436185,104,3.746793501,1460,22000,1420
W33x318,35.2,16,318.58,1.89,1107.954545,1.04,0.79,161.25,14.42605256,93.7,3.71043698,1290,19500,1270
W33x291,34.8,15.9,291.04,1.73,1017.241379,0.96,0.79,145.9119497,14.37969753,85.6,3.681222877,1160,17700,1160
W33x263,34.5,15.8,263.16,1.57,921.7391304,0.87,0.79,131.6455696,14.33270235,77.4,3.665609432,1040,15900,1040
W33x241,34.2,15.9,241.74,1.4,830.4093567,0.83,0.79,117.3584906,14.13218688,71.1,3.62248021,933,14200,940
W33x221,33.9,15.8,222.02,1.28,761.0619469,0.775,0.78,106.3291139,14.05523996,65.3,3.586600894,840,12900,857
W33x201,33.7,15.7,200.94,1.15,688.4272997,0.715,0.79,95.41401274,14.00990706,59.1,3.559976806,749,11600,773
W33x169,33.8,11.5,168.3,1.22,549.704142,0.67,0.7,53.91304348,13.69951706,49.5,2.502523978,310,9290,629
W33x152,33.5,11.6,152.66,1.06,487.1641791,0.635,0.7,47.06896552,13.4809938,44.9,2.46580173,273,8160,559
W33x141,33.3,11.5,141.1,0.96,447.4474474,0.605,0.7,42.7826087,13.39843544,41.5,2.434689065,246,7450,514
W33x130,33.1,11.5,130.22,0.855,405.4380665,0.58,0.705,37.91304348,13.23615588,38.3,2.385771574,218,6710,467
W33x118,32.9,11.5,117.98,0.74,358.662614,0.55,0.7,32.52173913,13.0395099,34.7,2.32143253,187,5900,415
W30x391,33.2,15.6,391,2.44,1246.987952,1.36,0.79,198.7179487,13.41640786,115,3.671275101,1550,20700,1450
W30x357,32.8,15.5,357,2.24,1140.243902,1.24,0.79,179.3548387,13.34523279,105,3.638419332,1390,18700,1320
W30x326,32.4,15.4,326.06,2.05,1037.037037,1.14,0.79,161.038961,13.23565192,95.9,3.595849769,1240,16800,1190
W30x292,32,15.3,292.4,1.85,931.25,1.02,0.79,143.7908497,13.16266743,86,3.576408488,1100,14900,1060
W30x261,31.6,15.2,261.8,1.65,829.1139241,0.93,0.79,126.1842105,13.04338415,77,3.529099808,959,13100,943
W30x235,31.3,15.1,235.62,1.5,747.6038339,0.83,0.79,113.2450331,12.99350487,69.3,3.512500867,855,11700,847
W30x211,30.9,15.1,211.82,1.32,666.6666667,0.775,0.78,100.2649007,12.85803457,62.3,3.485811645,757,10300,751
W30x191,30.7,15,190.74,1.19,599.3485342,0.71,0.78,89.73333333,12.80597009,56.1,3.463587004,673,9200,675
W30x173,30.4,15,173.06,1.07,541.4473684,0.655,0.78,79.73333333,12.71572206,50.9,3.427612365,598,8230,607
W30x148,30.7,10.5,148.24,1.18,435.1791531,0.65,0.65,43.23809524,12.37784348,43.6,2.281758536,227,6680,500
W30x132,30.3,10.5,131.92,1,380.8580858,0.615,0.65,37.33333333,12.19472592,38.8,2.247564547,196,5770,437
W30x124,30.2,10.5,124.1,0.93,354.9668874,0.585,0.65,34.47619048,12.11813992,36.5,2.226859697,181,5360,408
W30x116,30,10.5,116.28,0.85,328.6666667,0.565,0.65,31.23809524,12.00633361,34.2,2.189822284,164,4930,378
W30x108,29.8,10.5,107.78,0.76,300,0.545,0.65,27.80952381,11.87474057,31.7,2.146084396,146,4470,346
W30x99,29.7,10.5,98.6,0.67,268.6868687,0.52,0.65,24.38095238,11.7297147,29,2.100902926,128,3990,312
W30x90,29.5,10.4,89.42,0.61,244.7457627,0.47,0.65,22.11538462,11.7159019,26.3,2.091081915,115,3610,283
W27x539,32.5,15.3,540.6,3.54,1575.384615,1.97,0.79,275.8169935,12.68882537,159,3.642861547,2110,25600,1890
W27x368,30.4,14.7,370.6,2.48,1065.789474,1.38,0.79,178.2312925,12.19113831,109,3.466748999,1310,16200,1240
W27x336,30,14.6,337.28,2.28,973.3333333,1.26,0.79,161.6438356,12.1316701,99.2,3.448936255,1180,14600,1130
W27x307,29.6,14.4,306.68,2.09,885.1351351,1.16,0.79,145.8333333,12.05125786,90.2,3.411861402,1050,13100,1030
W27x281,29.3,14.4,282.54,1.93,812.2866894,1.06,0.79,132.3611111,11.96666047,83.1,3.386459908,953,11900,936
W27x258,29,14.3,258.74,1.77,744.8275862,0.98,0.79,120.1398601,11.91295632,76.1,3.359729042,859,10800,852
W27x235,28.7,14.2,235.96,1.61,675.9581882,0.91,0.79,108.3098592,11.82241314,69.4,3.328767286,769,9700,772
W27x217,28.4,14.1,217.26,1.5,627.4647887,0.83,0.79,99.85815603,11.8083284,63.9,3.319218944,704,8910,711
W27x194,28.1,14,194.14,1.34,559.430605,0.75,0.79,88.42857143,11.73257175,57.1,3.292511271,619,7860,631
W27x178,27.8,14.1,178.5,1.19,505.0359712,0.725,0.79,78.72340426,11.56348934,52.5,3.251373336,555,7020,570
W27x161,27.6,14,161.84,1.08,457.2463768,0.66,0.79,71,11.51360175,47.6,3.231280933,497,6310,515
W27x146,27.4,14,146.88,0.975,413.1386861,0.605,0.785,63.28571429,11.4463321,43.2,3.202285064,443,5660,464
W27x129,27.6,10,128.52,1.1,344.9275362,0.61,0.6,36.8,11.22167215,37.8,2.206292108,184,4760,395
W27x114,27.3,10.1,114.24,0.93,298.9010989,0.57,0.6,31.48514851,11.0194633,33.6,2.175348905,159,4080,343
W27x102,27.1,10,102,0.83,267.1586716,0.515,0.6,27.8,10.98483804,30,2.152517905,139,3620,305
W27x94,26.9,10,93.84,0.745,243.1226766,0.49,0.595,24.8,10.88477197,27.6,2.119611668,124,3270,278
W27x84,26.7,10,83.98,0.64,213.4831461,0.46,0.6,21.2,10.74172311,24.7,2.071593101,106,2850,244
W24x370,28,13.7,370.6,2.72,957.1428571,1.52,0.5,169.3430657,11.08764086,109,3.262238776,1160,13400,1130
W24x335,27.5,13.5,334.22,2.48,865.4545455,1.38,0.5,152.5925926,11.0026354,98.3,3.236993695,1030,11900,1020
W24x306,27.1,13.4,304.98,2.28,789.6678967,1.26,0.5,137.1641791,10.92183641,89.7,3.200822079,919,10700,922
W24x279,26.7,13.3,278.46,2.09,719.1011236,1.16,0.5,123.7593985,10.82663924,81.9,3.169990544,823,9600,835
W24x250,26.3,13.2,249.9,1.89,645.6273764,1.04,0.5,109.6969697,10.74756736,73.5,3.138525153,724,8490,744
W24x229,26,13.1,228.48,1.73,588.4615385,0.96,0.5,99.38931298,10.66954946,67.2,3.112474899,651,7650,675
W24x207,25.7,13,206.38,1.57,530.7392996,0.87,0.5,88.92307692,10.59980417,60.7,3.085812782,578,6820,606
W24x192,25.5,13,192.1,1.46,490.9803922,0.81,0.5,81.53846154,10.52598975,56.5,3.062765249,530,6260,559
W24x176,25.2,12.9,175.78,1.34,450.7936508,0.75,0.5,74.26356589,10.48163172,51.7,3.043844662,479,5680,511
W24x162,25,13,162.52,1.22,413.6,0.705,0.5,68.15384615,10.39995172,47.8,3.044303274,443,5170,468
W24x146,24.7,12.9,146.2,1.09,370.8502024,0.65,0.5,60.62015504,10.32044708,43,3.01546402,391,4580,418
W24x131,24.5,12.9,131.24,0.96,328.1632653,0.605,0.5,52.71317829,10.20514957,38.6,2.967876371,340,4020,370
W24x117,24.3,12.8,116.96,0.85,291.3580247,0.55,0.5,46.40625,10.1443076,34.4,2.938319406,297,3540,327
W24x104,24.1,12.8,104.38,0.75,257.2614108,0.5,0.5,40.46875,10.04874115,30.7,2.904562288,259,3100,289
W24x103,24.5,9,103.02,0.98,244.8979592,0.55,0.5,26.44444444,9.950371902,30.3,1.981765057,119,3000,280
W24x94,24.3,9.07,94.18,0.875,222.2222222,0.515,0.505,24.03528115,9.872837697,27.7,1.983687992,109,2700,254
W24x84,24.1,9.02,83.98,0.77,196.6804979,0.47,0.5,20.93126386,9.795479417,24.7,1.954958401,94.4,2370,224
W24x76,23.9,8.99,76.16,0.68,175.7322176,0.44,0.5,18.35372636,9.682458366,22.4,1.919123684,82.5,2100,200
W24x68,23.7,8.97,68.34,0.585,154.4303797,0.415,0.505,15.696767,9.541738632,20.1,1.871493404,70.4,1830,177
W24x62,23.7,7.04,61.88,0.59,130.8016878,0.43,0.5,9.801136364,9.22847957,18.2,1.376809499,34.5,1550,153
W24x55,23.6,7.01,55.08,0.505,114.4067797,0.395,0.505,8.302425107,9.128709292,16.2,1.340259787,29.1,1350,134
W21x275,24.1,12.9,278.12,2.19,638.1742739,1.22,1.18,122.0155039,9.695864064,81.8,3.101778022,787,7690,749
W21x248,23.7,12.8,250.92,1.99,576.371308,1.1,1.18,109.21875,9.620157248,73.8,3.077587483,699,6830,671
W21x223,23.4,12.7,226.1,1.79,519.6581197,1,1.18,96.69291339,9.561828875,66.5,3.038598806,614,6080,601
W21x201,23,12.6,201.62,1.63,461.7391304,0.91,0.5,86.03174603,9.462805505,59.3,3.023237714,542,5310,530
W21x182,22.7,12.5,182.24,1.48,416.7400881,0.83,0.5,77.28,9.393948513,53.6,3.001865092,483,4730,476
W21x166,22.5,12.4,165.92,1.36,380.4444444,0.75,0.5,70.16129032,9.365090391,48.8,2.98562128,435,4280,432
W21x147,22.1,12.5,146.88,1.15,328.5067873,0.72,0.5,60.16,9.166666667,43.2,2.950204011,376,3630,373
W21x132,21.8,12.4,131.92,1.04,295.412844,0.65,0.5,53.70967742,9.109867766,38.8,2.929586016,333,3220,333
W21x122,21.7,12.4,122.06,0.96,272.8110599,0.6,0.5,49.19354839,9.080267258,35.9,2.914759291,305,2960,307
W21x111,21.5,12.3,110.84,0.875,248.372093,0.55,0.505,44.55284553,9.049963563,32.6,2.899121932,274,2670,279
W21x101,21.4,12.3,101.32,0.8,226.1682243,0.5,0.5,40.32520325,9.011551126,29.8,2.884813278,248,2420,253
W21x93,21.6,8.42,92.82,0.93,191.6666667,0.58,0.5,22.06650831,8.70770784,27.3,1.844703337,92.9,2070,221
W21x83,21.4,8.36,82.96,0.835,171.0280374,0.515,0.505,19.47368421,8.660254038,24.4,1.82648996,81.4,1830,196
W21x73,21.2,8.3,73.1,0.74,150.9433962,0.455,0.5,17.01204819,8.626621856,21.5,1.812104006,70.6,1600,172
W21x68,21.1,8.27,68,0.685,140.2843602,0.43,0.505,15.64691657,8.602325267,20,1.798610575,64.7,1480,160
W21x62,21,8.24,62.22,0.615,126.6666667,0.4,0.505,13.95631068,8.525115579,18.3,1.772590337,57.5,1330,144
W21x55,20.8,8.22,55.08,0.522,109.6153846,0.375,0.498,11.77615572,8.388704928,16.2,1.728483243,48.4,1140,126
W21x48,20.6,8.14,47.94,0.43,93.10679612,0.35,0.5,9.508599509,8.247071262,14.1,1.656707835,38.7,959,107
W21x57,21.1,6.56,56.78,0.65,110.9004739,0.405,0.5,9.329268293,8.370178029,16.7,1.353637813,30.6,1170,129
W21x50,20.8,6.53,49.98,0.535,94.61538462,0.38,0.505,7.626339969,8.181612036,14.7,1.301490511,24.9,984,110
W21x44,20.7,6.5,44.2,0.45,81.44927536,0.35,0.5,6.369230769,8.052710963,13,1.261866749,20.7,843,95.4
W18x311,22.3,12,311.44,2.74,625.1121076,1.52,0.5,132.5,8.723055832,91.6,2.946020927,795,6970,754
W18x283,21.9,11.9,283.22,2.5,563.4703196,1.4,0.5,118.3193277,8.606371352,83.3,2.907125823,704,6170,676
W18x258,21.5,11.8,258.4,2.3,512.5581395,1.28,0.4,106.440678,8.514693183,76,2.874570906,628,5510,611
W18x234,21.1,11.7,233.24,2.11,464.4549763,1.16,0.4,95.38461538,8.451542547,68.6,2.852036253,558,4900,549
W18x211,20.7,11.6,211.82,1.91,418.3574879,1.06,0.4,85,8.336810404,62.3,2.813062856,493,4330,490
W18x192,20.4,11.5,191.08,1.75,379.4117647,0.96,0.4,76.52173913,8.298265479,56.2,2.798067457,440,3870,442
W18x175,20,11.4,174.76,1.59,345,0.89,0.4,68.59649123,8.192717655,51.4,2.758079747,391,3450,398
W18x158,19.7,11.3,157.42,1.44,310.6598985,0.81,0.4,61.4159292,8.129619471,46.3,2.737626788,347,3060,356
W18x143,19.5,11.2,142.8,1.32,282.0512821,0.73,0.4,55.53571429,8.091735937,42,2.721169216,311,2750,322
W18x130,19.3,11.2,130.22,1.2,254.9222798,0.67,0.4,49.64285714,8.014347448,38.3,2.694157686,278,2460,290
W18x119,19,11.3,119.34,1.06,230.5263158,0.655,0.4,44.77876106,7.898934257,35.1,2.684767626,253,2190,262
W18x106,18.7,11.2,105.74,0.94,204.2780749,0.59,0.4,39.28571429,7.83675896,31.1,2.659690768,220,1910,230
W18x97,18.6,11.1,96.9,0.87,188.172043,0.535,0.4,36.21621622,7.8360391,28.5,2.655679118,201,1750,211
W18x86,18.4,11.1,86.02,0.77,166.3043478,0.48,0.4,31.53153153,7.776522893,25.3,2.63001826,175,1530,186
W18x76,18.2,11,75.82,0.68,146.1538462,0.425,0.4,27.63636364,7.722775123,22.3,2.610774502,152,1330,163
W18x71,18.5,7.64,71.06,0.81,126.4864865,0.495,0.4,15.78534031,7.482035902,20.9,1.698578071,60.3,1170,146
W18x65,18.4,7.59,64.94,0.75,116.3043478,0.45,0.4,14.4400527,7.484713916,19.1,1.693844724,54.8,1070,133
W18x60,18.2,7.56,59.84,0.695,108.1318681,0.415,0.405,13.25396825,7.477238187,17.6,1.687184314,50.1,984,123
W18x55,18.1,7.53,55.08,0.63,98.34254144,0.39,0.4,11.92563081,7.412035591,16.2,1.664813785,44.9,890,112
W18x50,18,7.5,49.98,0.57,88.88888889,0.355,0.402,10.69333333,7.377111136,14.7,1.651632876,40.1,800,101
W18x46,18.1,6.06,45.9,0.605,78.67403315,0.36,0.405,7.425742574,7.262282061,13.5,1.290994449,22.5,712,90.7
W18x40,17.9,6.02,40.12,0.525,68.37988827,0.315,0.402,6.34551495,7.201694716,11.8,1.272259434,19.1,612,78.4
